x_value,total_1,total_2
0,1000,1000
1,997,998
2,1003,996
3,1006,1002
4,1012,1003
5,1019,999
6,1019,1001
7,1026,1006
8,1032,1003
9,1032,1009
10,1039,1004
11,1040,1010
12,1041,1005
13,1045,1005
14,1052,1011
15,1046,1007
16,1045,1004
17,1047,1000
18,1045,1004
19,1049,1005
20,1056,1011
21,1054,1017
22,1050,1019
23,1050,1017
24,1050,1022
25,1051,1027
26,1054,1031
27,1057,1028
28,1061,1033
29,1059,1035
30,1056,1034
31,1059,1035
32,1060,1034
33,1068,1031
34,1076,1036
35,1071,1032
36,1072,1036
37,1080,1032
38,1085,1031
39,1083,1037
40,1084,1034
41,1088,1031
42,1085,1032
43,1079,1037
44,1074,1037
45,1079,1042
46,1084,1042
47,1088,1038
48,1091,1040
49,1099,1040
50,1094,1037
51,1096,1041
52,1093,1046
53,1095,1045
54,1099,1043
55,1105,1039
56,1099,1042
57,1093,1043
58,1094,1043
59,1089,1048
60,1084,1046
61,1090,1050
62,1088,1047
63,1086,1050
64,1080,1052
65,1085,1048
66,1079,1047
67,1084,1044
68,1083,1040
69,1085,1037
70,1084,1033
71,1092,1032
72,1094,1037
73,1098,1035
74,1100,1035
75,1099,1034
76,1100,1031
77,1096,1031
78,1090,1036
79,1094,1040
80,1094,1042
81,1099,1046
82,1106,1052
83,1112,1051
84,1120,1053
85,1117,1054
86,1124,1056
87,1129,1054
88,1134,1056
89,1142,1053
90,1146,1050
91,1146,1048
92,1143,1044
93,1140,1043
94,1136,1045
95,1130,1046
96,1132,1048
97,1127,1049
98,1135,1044
99,1138,1043
100,1135,1044
101,1137,1042
102,1137,1037
103,1133,1032
